CUSTOM.dateTime,OSD.flyTime,OSD.latitude,OSD.longitude,OSD.height,OSD.heightMax,OSD.vpsHeight,OSD.altitude,OSD.xSpeed,OSD.xSpeedMax,OSD.ySpeed,OSD.ySpeedMax,OSD.zSpeed,OSD.zSpeedMax,OSD.pitch,OSD.roll,OSD.yaw,OSD.flycState,OSD.flycCommand,OSD.flightAction,OSD.isGPSUsed,OSD.nonGPSCause,OSD.gpsNum,OSD.gpsLevel,OSD.droneType,OSD.isSwaveWork,OSD.waveError,OSD.goHomeStatus,OSD.batteryType,OSD.isOnGround,OSD.isMotorOn,OSD.isMotorBlocked,OSD.motorStartFailedCause,OSD.isImuPreheated,OSD.imuInitFailReason,OSD.isAcceleratorOverRange,OSD.isBarometerDeadInAir,OSD.isCompassError,OSD.isGoHomeHeightModified,OSD.canIOCWork,OSD.isNotEnoughForce,OSD.isOutOfLimit,OSD.isPropellerCatapult,OSD.isVibrating,OSD.isVisionUsed,OSD.voltageWarning,GIMBAL.mode,GIMBAL.pitch,GIMBAL.roll,GIMBAL.yaw,GIMBAL.isPitchAtLimit,GIMBAL.isRollAtLimit,GIMBAL.isYawAtLimit,GIMBAL.isStuck,CAMERA.isPhoto,CAMERA.isVideo,CAMERA.sdCardIsInserted,CAMERA.sdCardState,RC.downlinkSignal,RC.uplinkSignal,RC.aileron,RC.elevator,RC.throttle,RC.rudder,BATTERY.chargeLevel,BATTERY.voltage,BATTERY.current,BATTERY.currentCapacity,BATTERY.fullCapacity,BATTERY.cellNum,BATTERY.isCellVoltageEstimated,BATTERY.cellVoltage1,BATTERY.cellVoltage2,BATTERY.cellVoltageDeviation,BATTERY.maxCellVoltageDeviation,BATTERY.temperature,BATTERY.minTemperature,BATTERY.maxTemperature,HOME.latitude,HOME.longitude,HOME.altitude,HOME.heightLimit,HOME.isHomeRecord,HOME.goHomeMode,HOME.isDynamicHomePointEnabled,HOME.isNearDistanceLimit,HOME.isNearHeightLimit,HOME.isCompassCalibrating,HOME.compassCalibrationState,HOME.isMultipleModeEnabled,HOME.isBeginnerMode,HOME.isIOCEnabled,HOME.IOCMode,HOME.goHomeHeight,HOME.IOCCourseLockAngle,HOME.maxAllowedHeight,HOME.currentFlightRecordIndex,RECOVER.appPlatform,RECOVER.appVersion,RECOVER.aircraftName,RECOVER.aircraftSerial,RECOVER.cameraSerial,RECOVER.rcSerial,RECOVER.batterySerial,APP.tip,APP.warn,DETAILS.totalTime,DETAILS.totalDistance,DETAILS.maxHeight,DETAILS.maxHorizontalSpeed,DETAILS.maxVerticalSpeed,DETAILS.photoNum,DETAILS.videoTime,DETAILS.aircraftName,DETAILS.aircraftSerial,DETAILS.cameraSerial,DETAILS.rcSerial,DETAILS.appPlatform,DETAILS.appVersion
2025-06-20T01:10:25.726Z,301.9,1.5576233759622204,103.64077277358754,0.0,0.0,0.1,31.975708,0.0,0.0,0.0,0.0,0.0,0.0,-1.3,1.4,-71.6,EngineStart,GoHome,None,true,Already,32,5,Mini4Pro,true,false,Standby,Smart,true,true,false,None,true,MonitorError,false,false,false,false,false,false,false,false,false,false,0,YawFollow,0.0,0.0,-67.7,false,false,false,false,false,false,true,Full,0,90,1024,1024,1024,1024,73,8.005,1.084,1846,2542,2,false,4.003,4.002,0.001,0.001,50.4,50.4,50.4,1.557622187294087,103.64077920006686,31.975708,120.0,true,FixedHeight,false,false,false,false,,true,false,false,,100,,120.0,41,DJIFly,1.16.0,DJI Mini 4 Pro,1581F6Z9C2475003,6TVFM5L0M2X4BC,6UZBM7202100WJ,7BVPM66DA2003H,,,4.2,0.00018474658,0.0,0.0,0.0,0,0,DJI Mini 4 Pro,1581F6Z9C2475003,6TVFM5L0M2X4BC,6UZBM7202100WJ,DJIFly,1.16.0
2025-06-20T01:10:25.829Z,302.0,1.557623357309771,103.64077276637356,0.0,0.0,0.1,31.975708,0.0,0.0,0.0,0.0,0.0,0.0,-1.3,1.4,-71.6,EngineStart,GoHome,None,true,Already,32,5,Mini4Pro,true,false,Standby,Smart,true,true,false,None,true,MonitorError,false,false,false,false,false,false,false,false,false,false,0,YawFollow,0.0,0.0,-67.7,false,false,false,false,false,false,true,Full,90,90,1024,1024,1024,1024,73,7.987,1.628,1845,2542,2,false,4.003,4.002,0.001,0.001,50.4,50.4,50.4,1.557622187294087,103.64077920006686,31.975708,120.0,true,FixedHeight,false,false,false,false,,true,false,false,,100,,120.0,41,DJIFly,1.16.0,DJI Mini 4 Pro,1581F6Z9C2475003,6TVFM5L0M2X4BC,6UZBM7202100WJ,7BVPM66DA2003H,,,4.2,0.00018474658,0.0,0.0,0.0,0,0,DJI Mini 4 Pro,1581F6Z9C2475003,6TVFM5L0M2X4BC,6UZBM7202100WJ,DJIFly,1.16.0
2025-06-20T01:10:25.929Z,302.1,1.5576233901709204,103.6407727870224,0.0,0.0,0.1,31.975708,0.0,0.0,0.0,0.0,0.0,0.0,-1.3,1.4,-71.6,EngineStart,GoHome,None,true,Already,32,5,Mini4Pro,true,false,Standby,Smart,true,true,false,None,true,MonitorError,false,false,false,false,false,false,false,false,false,false,0,YawFollow,0.0,0.0,-67.7,false,false,false,false,false,false,true,Full,90,90,1024,1024,1024,1024,73,7.987,1.628,1845,2542,2,false,4.003,4.002,0.001,0.001,50.4,50.4,50.4,1.557622187294087,103.64077920006686,31.975708,120.0,true,FixedHeight,false,false,false,false,,true,false,false,,100,,120.0,41,DJIFly,1.16.0,DJI Mini 4 Pro,1581F6Z9C2475003,6TVFM5L0M2X4BC,6UZBM7202100WJ,7BVPM66DA2003H,,,4.2,0.00018474658,0.0,0.0,0.0,0,0,DJI Mini 4 Pro,1581F6Z9C2475003,6TVFM5L0M2X4BC,6UZBM7202100WJ,DJIFly,1.16.0
2025-06-20T01:10:26.030Z,302.2,1.5576233859724025,103.64077281651034,0.0,0.0,0.1,31.975708,0.0,0.0,0.0,0.0,0.0,0.0,-1.3,1.4,-71.6,EngineStart,GoHome,None,true,Already,32,5,Mini4Pro,true,false,Standby,Smart,true,true,false,None,true,MonitorError,false,false,false,false,false,false,false,false,false,false,0,YawFollow,0.0,0.0,-67.7,false,false,false,false,false,false,true,Full,90,90,1024,1024,1024,1024,73,7.987,1.628,1845,2542,2,false,4.003,4.002,0.001,0.001,50.4,50.4,50.4,1.557622187294087,103.64077920006686,31.975708,120.0,true,FixedHeight,false,false,false,false,,true,false,false,,100,,120.0,41,DJIFly,1.16.0,DJI Mini 4 Pro,1581F6Z9C2475003,6TVFM5L0M2X4BC,6UZBM7202100WJ,7BVPM66DA2003H,,,4.2,0.00018474658,0.0,0.0,0.0,0,0,DJI Mini 4 Pro,1581F6Z9C2475003,6TVFM5L0M2X4BC,6UZBM7202100WJ,DJIFly,1.16.0
2025-06-20T01:10:26.131Z,302.3,1.5576234730280976,103.64077282558726,0.0,0.0,0.1,31.975708,0.0,0.0,0.0,0.0,0.0,0.0,-1.3,1.4,-71.6,EngineStart,GoHome,None,true,Already,32,5,Mini4Pro,true,false,Standby,Smart,true,true,false,None,true,MonitorError,false,false,false,false,false,false,false,false,false,false,0,YawFollow,0.0,0.0,-67.7,false,false,false,false,false,false,true,Full,90,90,1024,1024,1016,1024,73,7.987,1.628,1845,2542,2,false,4.003,4.002,0.001,0.001,50.4,50.4,50.4,1.557622187294087,103.64077920006686,31.975708,120.0,true,FixedHeight,false,false,false,false,,true,false,false,,100,,120.0,41,DJIFly,1.16.0,DJI Mini 4 Pro,1581F6Z9C2475003,6TVFM5L0M2X4BC,6UZBM7202100WJ,7BVPM66DA2003H,,,4.2,0.00018474658,0.0,0.0,0.0,0,0,DJI Mini 4 Pro,1581F6Z9C2475003,6TVFM5L0M2X4BC,6UZBM7202100WJ,DJIFly,1.16.0
2025-06-20T01:10:26.232Z,302.4,1.5576234525099082,103.6407727735918,0.0,0.0,0.1,31.975708,0.0,0.0,0.0,0.0,0.0,0.0,-1.3,1.4,-71.6,AssistedTakeoff,GoHome,None,true,Already,32,5,Mini4Pro,true,false,Standby,Smart,true,true,false,None,true,MonitorError,false,false,false,false,false,false,false,false,false,false,0,YawFollow,0.0,0.0,-67.7,false,false,false,false,false,false,true,Full,90,90,1024,1024,1024,1024,73,7.987,1.628,1845,2542,2,false,4.003,4.002,0.001,0.001,50.4,50.4,50.4,1.557622187294087,103.64077920006686,31.975708,120.0,true,FixedHeight,false,false,false,false,,true,false,false,,100,,120.0,41,DJIFly,1.16.0,DJI Mini 4 Pro,1581F6Z9C2475003,6TVFM5L0M2X4BC,6UZBM7202100WJ,7BVPM66DA2003H,Flight mode changed to AssistedTakeoff.,,4.2,0.00018474658,0.0,0.0,0.0,0,0,DJI Mini 4 Pro,1581F6Z9C2475003,6TVFM5L0M2X4BC,6UZBM7202100WJ,DJIFly,1.16.0
2025-06-20T01:10:26.334Z,302.5,1.5576235334840776,103.64077276296689,0.0,0.0,0.1,31.975708,0.0,0.0,0.0,0.0,0.0,0.0,-1.3,1.4,-71.6,AssistedTakeoff,GoHome,None,true,Already,32,5,Mini4Pro,true,false,Standby,Smart,true,true,false,None,true,MonitorError,false,false,false,false,false,false,false,false,false,false,0,YawFollow,0.0,0.0,-67.7,false,false,false,false,false,false,true,Full,90,90,1024,1024,1024,1024,73,7.987,1.628,1845,2542,2,false,4.003,4.002,0.001,0.001,50.4,50.4,50.4,1.557622187294087,103.64077920006686,31.975708,120.0,true,FixedHeight,false,false,false,false,,true,false,false,,100,,120.0,41,DJIFly,1.16.0,DJI Mini 4 Pro,1581F6Z9C2475003,6TVFM5L0M2X4BC,6UZBM7202100WJ,7BVPM66DA2003H,,,4.2,0.00018474658,0.0,0.0,0.0,0,0,DJI Mini 4 Pro,1581F6Z9C2475003,6TVFM5L0M2X4BC,6UZBM7202100WJ,DJIFly,1.16.0
2025-06-20T01:10:26.435Z,302.6,1.5576234606627835,103.64077271375358,0.0,0.0,0.1,31.975708,0.0,0.0,0.0,0.0,0.0,0.0,-1.3,1.4,-71.6,AssistedTakeoff,GoHome,None,true,Already,32,5,Mini4Pro,true,false,Standby,Smart,true,true,false,None,true,MonitorError,false,false,false,false,false,false,false,false,false,false,0,YawFollow,0.0,0.0,-67.7,false,false,false,false,false,false,true,Full,90,90,1024,1024,1024,1024,73,7.987,1.628,1845,2542,2,false,4.003,4.002,0.001,0.001,50.4,50.4,50.4,1.557622187294087,103.64077920006686,31.975708,120.0,true,FixedHeight,false,false,false,false,,true,false,false,,100,,120.0,41,DJIFly,1.16.0,DJI Mini 4 Pro,1581F6Z9C2475003,6TVFM5L0M2X4BC,6UZBM7202100WJ,7BVPM66DA2003H,,,4.2,0.00018474658,0.0,0.0,0.0,0,0,DJI Mini 4 Pro,1581F6Z9C2475003,6TVFM5L0M2X4BC,6UZBM7202100WJ,DJIFly,1.16.0
2025-06-20T01:10:26.536Z,302.7,1.5576235255093698,103.64077268580508,0.0,0.0,0.1,31.975708,0.0,0.0,0.0,0.0,0.0,0.0,-1.3,1.4,-71.6,AssistedTakeoff,GoHome,None,true,Already,32,5,Mini4Pro,true,false,Standby,Smart,true,true,false,None,true,MonitorError,false,false,false,false,false,false,false,false,false,false,0,YawFollow,0.0,0.0,-67.7,false,false,false,false,false,false,true,Full,0,90,1024,1024,1024,1024,73,7.987,1.628,1845,2542,2,false,4.003,4.002,0.001,0.001,50.4,50.4,50.4,1.557622187294087,103.64077920006686,31.975708,120.0,true,FixedHeight,false,false,false,false,,true,false,false,,100,,120.0,41,DJIFly,1.16.0,DJI Mini 4 Pro,1581F6Z9C2475003,6TVFM5L0M2X4BC,6UZBM7202100WJ,7BVPM66DA2003H,,,4.2,0.00018474658,0.0,0.0,0.0,0,0,DJI Mini 4 Pro,1581F6Z9C2475003,6TVFM5L0M2X4BC,6UZBM7202100WJ,DJIFly,1.16.0
2025-06-20T01:10:26.637Z,302.8,1.5576233965905766,103.64077271209953,0.0,0.0,0.1,31.975708,0.0,0.0,0.0,0.0,0.0,0.0,-1.3,1.4,-71.6,AssistedTakeoff,GoHome,None,true,Already,32,5,Mini4Pro,true,false,Standby,Smart,true,true,false,None,true,MonitorError,false,false,false,false,false,false,false,false,false,false,0,YawFollow,0.0,0.0,-67.7,false,false,false,false,false,false,true,Full,0,90,1024,1024,1024,1024,73,7.987,1.628,1845,2542,2,false,4.003,4.002,0.001,0.001,50.4,50.4,50.4,1.557622187294087,103.64077920006686,31.975708,120.0,true,FixedHeight,false,false,false,false,,true,false,false,,100,,120.0,41,DJIFly,1.16.0,DJI Mini 4 Pro,1581F6Z9C2475003,6TVFM5L0M2X4BC,6UZBM7202100WJ,7BVPM66DA2003H,,,4.2,0.00018474658,0.0,0.0,0.0,0,0,DJI Mini 4 Pro,1581F6Z9C2475003,6TVFM5L0M2X4BC,6UZBM7202100WJ,DJIFly,1.16.0
